NAME,PARTY,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q9,Q10,Q11,Q12,Q13
船橋＝利実,1,2,3,3,3,3,2,2,2,2,2,3,4,3,3,2,3,3,3,2,3,3,3,4,4,4,3,3,2,2,2,4,2,2
横路＝孝弘,2,5,5,4,5,5,3,4,2,5,5,5,1,3,5,5,1,3,3,5,2,1,4,1,4,4,2,4,5,5,5,5,5,3
野呂田＝博之,6,5,5,5,5,3,2,3,5,5,5,5,1,3,5,5,1,1,5,4,1,2,4,1,5,4,1,4,5,5,5,5,5,4
吉川＝貴盛,1,1,3,3,3,3,1,2,2,2,1,6,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
松木＝謙公,3,3,2,3,4,2,3,3,3,2,1,4,3,3,3,5,6,2,1,3,4,2,3,2,5,4,1,1,1,4,5,5,5,3
金倉＝昌俊,6,5,5,5,5,5,1,3,5,5,5,5,1,3,5,5,1,2,4,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
高木＝宏寿,1,1,3,2,2,4,1,2,2,2,2,3,5,3,1,1,5,2,3,3,2,3,2,3,2,2,4,2,1,1,1,2,3,2
荒井＝聰,2,4,5,4,5,4,3,4,2,4,5,4,1,3,3,2,1,3,2,4,3,2,5,3,4,5,2,3,2,5,5,4,4,2
小和田＝康文,3,2,3,3,4,2,3,3,4,2,1,4,3,3,3,5,3,2,2,4,4,2,4,2,5,4,1,1,1,4,5,5,5,3
吉岡＝弘子,6,5,5,5,5,5,4,5,5,5,5,5,1,2,5,5,1,3,5,5,5,4,3,1,5,5,1,5,5,5,5,5,5,4
中村＝裕之,1,1,1,2,3,4,2,2,2,3,2,2,5,3,2,2,5,3,1,1,1,2,3,5,3,2,2,2,1,1,1,3,4,2
鉢呂＝吉雄,2,5,5,4,5,5,3,4,3,5,3,5,1,3,5,4,1,3,3,5,2,1,5,2,5,4,2,4,5,5,5,5,5,3
酒井＝隆裕,6,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,6,5,4,1,2,4,1,5,5,2,5,5,5,5,5,5,4
町村＝信孝,1,1,1,2,1,3,2,2,1,2,4,1,5,3,1,1,1,1,1,2,4,2,4,4,4,5,2,4,1,1,1,2,2,2
勝部＝賢志,2,4,4,4,5,4,3,4,3,4,4,4,2,3,4,3,2,2,3,4,2,2,4,2,4,4,2,4,5,5,5,4,4,3
鈴木＝龍次,6,5,5,5,5,5,2,2,5,4,5,5,1,3,4,5,1,3,5,5,2,3,5,1,5,4,5,5,5,5,5,5,5,4
今津＝寛,1,1,3,3,6,3,1,2,2,2,1,6,5,5,1,1,5,3,2,3,3,3,1,4,3,4,4,3,1,1,1,4,2,2
佐々木＝隆博,2,5,5,5,5,4,3,3,3,3,4,5,2,3,4,4,2,2,4,5,2,2,3,2,4,4,1,4,5,5,5,4,5,2
荻生＝和敏,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,3,5,4,1,2,4,1,5,5,3,5,5,5,5,5,5,4
伊東＝良孝,1,2,2,2,3,4,2,2,2,3,2,2,4,2,2,2,2,3,2,3,2,2,2,3,4,3,2,3,2,2,2,2,1,2
鈴木＝貴子,2,3,5,3,5,2,2,2,2,3,2,4,4,3,3,5,3,3,3,3,2,2,4,1,2,4,1,4,2,5,5,5,4,3
石川＝明美,6,5,5,5,5,5,3,3,5,5,5,5,1,3,5,5,1,4,5,5,1,1,4,1,5,5,1,5,5,5,5,5,5,4
前田＝一男,1,1,3,3,1,3,2,2,5,3,3,2,4,4,1,2,4,3,2,3,2,3,2,3,2,3,3,3,2,2,2,2,2,4
逢坂＝誠二,2,2,3,3,5,4,3,3,3,5,5,5,4,4,3,5,2,3,3,3,3,2,3,2,4,4,3,3,3,5,5,4,3,3
原田＝有康,6,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,6,5,4,1,2,4,1,5,5,2,5,5,5,5,5,5,4
堀井＝学,1,1,5,3,1,5,1,1,2,1,1,3,5,3,1,1,5,3,3,3,3,3,1,5,3,3,3,3,1,1,1,4,2,2
山岡＝達丸,2,3,5,3,5,4,3,3,2,4,5,5,4,3,5,2,2,2,4,4,4,2,4,2,4,4,2,4,4,5,5,5,5,3
工藤＝良一,6,5,5,5,5,4,1,1,5,5,5,5,2,3,5,5,1,4,4,4,2,3,3,1,5,5,1,4,5,5,5,5,5,4
神谷＝裕,2,5,3,3,4,4,2,2,3,2,5,3,2,2,3,3,1,2,4,3,2,2,4,2,4,4,2,3,2,5,4,5,4,5
稲津＝久,4,3,5,3,5,4,2,2,3,3,4,4,2,3,2,2,2,2,3,3,2,2,4,3,4,3,2,2,2,2,2,3,2,2
木村＝賢治,6,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,6,5,4,1,2,4,1,5,5,6,5,5,5,5,5,5,4
中川＝郁子,1,1,3,3,2,3,3,3,3,2,1,2,5,5,2,2,5,2,3,3,3,3,3,4,3,3,3,3,6,1,1,4,1,2
三津＝丈夫,2,5,5,4,5,5,3,4,5,5,5,5,1,3,5,5,1,3,5,5,2,3,3,1,5,5,5,5,5,5,5,5,5,4
畑中＝庸助,6,5,5,5,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,5,1,3,5,1,4,4,1,5,5,5,5,5,5,4
武部＝新,1,1,2,2,2,3,1,1,3,2,1,2,5,2,1,1,5,2,2,3,3,3,2,4,4,3,2,3,1,1,1,2,2,2
水上＝美華,2,3,3,3,5,4,3,4,3,3,4,4,2,3,4,4,2,2,3,3,3,3,5,3,5,5,1,3,3,5,5,5,5,2
菅原＝誠,6,4,4,4,5,4,3,4,5,5,5,4,2,4,4,5,2,3,5,4,2,2,3,1,4,4,2,4,5,5,5,4,4,4
津島＝淳,1,4,5,2,3,5,2,2,2,2,2,2,4,4,1,1,4,1,4,4,2,1,4,5,5,4,2,4,1,2,2,4,4,2
升田＝世喜男,3,2,3,2,2,3,3,3,2,3,1,3,4,3,2,2,4,4,2,5,3,2,2,3,5,3,2,3,2,3,2,5,4,3
吉俣＝洋,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
江渡＝聡徳,1,1,3,3,3,4,6,2,2,2,2,2,5,4,1,1,5,3,1,3,3,3,1,5,3,4,3,3,1,1,1,4,2,2
中野渡＝詔子,3,1,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,4,3,2,3,4,3,3,4,3,3,3,5,5,5,5,3
小笠原＝良子,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
大島＝理森,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
田名部＝匡代,2,2,3,2,4,4,3,3,2,3,4,4,3,3,1,2,1,2,2,5,2,1,5,4,3,4,1,3,2,4,5,5,5,5
松橋＝三夫,6,5,5,5,5,5,3,3,5,5,5,5,1,4,5,5,1,3,3,3,2,3,4,1,5,3,1,5,5,5,5,5,5,4
木村＝太郎,1,1,3,3,2,3,2,2,2,2,2,3,5,3,1,1,5,3,3,3,3,3,2,3,3,4,3,3,1,1,1,3,2,2
山内＝崇,2,2,4,2,5,4,2,2,3,2,2,5,2,3,2,2,2,2,2,4,4,2,4,4,4,4,1,4,4,4,5,4,4,3
千葉＝浩規,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
高橋＝比奈子,1,3,3,3,2,4,2,3,2,2,3,3,3,3,2,3,4,1,3,3,3,3,3,3,3,3,1,2,1,1,2,2,2,2
階＝猛,2,3,4,3,5,4,3,4,2,4,5,4,3,3,3,3,2,2,3,4,3,2,4,3,4,4,2,4,4,5,5,4,5,5
吉田＝恭子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
鈴木＝俊一,1,1,2,3,1,3,2,2,3,2,2,3,3,2,1,2,3,4,2,3,3,2,1,3,4,3,2,3,1,1,1,3,2,2
久保＝幸男,6,5,5,4,5,5,2,3,5,5,5,5,1,3,2,5,2,2,4,5,1,2,5,1,5,5,2,4,5,5,5,5,5,4
橋本＝英教,1,1,3,2,3,4,2,2,3,2,1,3,4,3,2,1,3,3,2,3,3,4,4,5,5,4,3,2,2,1,1,2,1,2
黄川田＝徹,2,4,5,3,4,4,3,3,2,4,4,4,2,3,3,3,3,3,3,4,2,3,3,3,4,3,4,3,2,5,5,4,3,2
菊池＝幸夫,6,5,5,5,5,5,2,1,5,5,5,5,1,4,4,5,1,2,5,5,1,3,5,1,5,5,4,5,5,5,5,5,5,4
藤原＝崇,1,1,6,2,2,4,2,2,6,4,2,5,5,2,2,2,5,5,2,6,6,6,3,6,6,4,5,2,1,2,2,6,6,2
高橋＝綱記,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
土井＝亨,1,2,4,3,2,2,2,1,2,2,3,3,5,3,1,2,2,3,3,3,3,2,3,3,2,3,3,3,1,2,2,4,3,2
郡＝和子,2,3,5,3,5,4,4,4,3,4,4,5,2,2,3,3,1,1,3,4,3,3,5,3,5,4,1,3,1,4,5,5,5,2
松井＝秀明,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,2,2,5,5,5,5,5,5,4
林＝宙紀,3,2,2,4,3,4,4,4,4,2,3,3,4,2,3,5,2,3,3,2,4,1,4,2,4,4,2,2,1,5,4,4,4,5
増元＝照明,5,1,1,1,1,3,2,4,2,1,2,3,5,5,1,3,4,4,2,3,3,3,1,4,3,4,3,2,1,2,1,3,4,5
秋葉＝賢也,1,1,3,3,3,3,2,2,3,2,2,2,5,3,2,2,4,3,2,2,2,3,3,5,4,4,3,2,1,2,1,3,2,2
大内＝真理,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
西村＝明宏,1,2,3,2,2,4,2,2,3,2,1,3,4,3,2,3,5,3,3,3,3,3,3,3,3,4,3,3,2,2,2,4,2,2
橋本＝清仁,2,2,3,3,5,4,3,4,3,3,3,4,3,3,3,4,2,2,3,3,3,3,5,2,5,5,1,3,3,5,5,5,5,2
